"Description","Price","ProductGroup_ID"
"STOKBROOD MET KRUIDENBOTER",$6.90,95
"KNOFLOOKBROOD",$5.90,95
"SOEP VAN DE DAG",$8.90,95
"TOMATENSOEP",$5.50,95
"CARPACCIO VAN RUNDERHAAS",$14.00,95
"MELOEN MET GEROOKTE HAAN",$10.50,95
"GARNALEN COCKTAIL",$10.50,95
"KROKA  KIPVLEUGELTJES STARTER",$8.90,95
"ZALMCARPACCIO",$12.00,95
"TONIJNSALADE",$11.90,96
"GRIEKSE SALADE",$8.90,96
"GEGRILDE KIP SALADE",$12.50,96
"SALADE MET GEG. GEITENKAAS",$14.50,96
"LEIDSE SALADE",$17.00,96
"PIZZA MARGHARITA",$8.00,98
"PIZZA SALAMI",$10.00,98
"PIZZA LEIDSE SPECIAAL",$14.00,98
"PIZZA VEGETARISCH",$10.00,98
"WIENERSCHNITZEL",$17.50,99
"KIPFILET VAN DE GRILL",$15.90,99
"VARKENSHAASJE",$22.00,99
"MIXED GRILL",$23.90,99
"DUTCH STEAK",$24.50,99
"T-BONE STEAK",$29.90,99
"ENTRECOTE",$24.00,99
"TOURNEDOS MEDAILLONS",$27.00,99
"KROKANTE KIPVLEUGELTJES",$11.50,100
"SPARE RIBS",$14.50,100
"SATE A LA LEIDSE",$14.50,100
"NASI SCHOTEL",$13.50,100
"BORITTOS SCHOTEL",$13.00,100
"VIS A LA LEIDSE",$17.50,101
"KABELJAUW",$18.50,101
"VISTRIO",$29.50,101
"ZALMFILET",$20.00,101
"GAMBA'S",$23.00,101
"SORBET",$7.90,102
"MELOEN ICE CREAM",$7.90,102
"COUPE ANANAS",$6.90,102
"DAME BLANCHE",$7.90,102
"CHOKOLADE SOUFLE",$7.95,102
"BANAAN ROYAAL",$6.90,102
"VERSE FRUIT SALADE",$9.50,102
"VERSE AARDBEIEN",$9.50,102
"APPELGEBAK/IJS/SLAG.",$5.50,102
"THEE",$2.75,103
"ITALIANO CAFE",$8.50,103
"CAPPUCCINO",$3.50,103
"ESPRESSO",$2.50,103
"CAFE",$3.00,103
"FRAPPE",$3.50,103
"ICE CREAM KOFFIE",$4.00,103
"CAFFE AU LAIT",$3.50,103
"MEXICAN CAFE",$8.50,103
"IRISH CAFE",$8.50,103
"SCOTISH SHISHA",$25.00,104
"EXTRA PIPE",$5.00,104
"SHISHA ICE",$12.00,104
"SHISHA PREMIUM 4",$17.50,104
"SHISHA NICOTINE",$13.50,104
"WATER",$1.90,105
"ANANASSAP",$4.50,105
"VERSE JUS D'ORANGE",$5.50,105
"GRAND MARNIER",$5.00,106
"TIA MARIA",$5.00,106
"COINTREAU",$5.00,106
"KAHLUA",$5.00,106
"BAILEYS",$5.00,106
"AMARETTO",$5.00,106
"MARTINI",$5.00,106
"PEACH",$5.00,106
"SAFARI",$5.00,106
"PASSOA",$5.00,106
"OUZO",$3.00,106
"RAKI",$3.00,106
"LEIDSE ONTBIJT",$9.00,107
"ENGELS ONTBIJT",$9.00,107
